frameIndex,EnergyFlow,Volume,PathCurvature,CoMHeight,PosturalSway,SwayRaw,LeftAngularIntensity,RightAngularIntensity,SyncCorrelation,TransitionTorque,Jerk
0,14.342783468362754,0.040786225483215824,5.510346014037519,0.8408671447634696,0.08139842308231153,0.02606735951649323,16.350384873984154,3.804348324362933,0.7357583623436429,30.87840636629764,480524.90722584305
1,14.43210623342698,0.03555555017896175,6.114942342178256,0.8453224167227742,0.07802070544375485,0.039586360996316045,15.222719172498124,5.500563335301868,0.7489770626242894,31.118228041350218,483459.97514855815
2,14.43787744592132,0.02862290579212922,7.674244262587461,0.8517062592506408,0.07542917376393861,0.046730022450906634,14.970554088120597,4.404435742736593,0.7302099084287533,31.16741940852457,483298.3046679985
3,14.420865777550086,0.02272213391825908,6.131724579696441,0.8538856914639472,0.07348723581929659,0.048229081392795276,20.23050444225615,4.493939552871163,0.6772015722941165,31.428913286122338,479692.23433920473
4,14.41204974371955,0.021862036286717214,3.4807368936378116,0.8595571547746654,0.07220908016970333,0.04518281500615461,23.792425883862716,5.000921846149404,0.6353906634803053,31.28460847242272,484832.8176274166
5,14.417241086182859,0.029008719701863615,4.014033108863753,0.8629778245091437,0.07114408417671075,0.05695085183307321,22.275518974619985,5.932650634753163,0.6431858322894962,31.602994171428268,474494.0446779179
6,14.421758149205655,0.03649822023385247,4.408012170820893,0.8671437340974805,0.07025652363763264,0.06908242115142245,19.606740132081676,4.977909038301814,0.6239934232638059,31.68554375793925,472578.718644323
7,14.501652677105936,0.04212439001478546,7.249981510805349,0.8643068891763686,0.06973522244960327,0.07107415241689745,16.5174652055666,4.463752035547127,0.5991914902833811,31.85731883730382,454712.50445390935
8,14.692777148294695,0.04594213887773426,9.226073206858715,0.8638900288939474,0.06987293146526868,0.06755394086165763,15.454030221116392,4.627122856780085,0.5882420833476888,31.13022183407434,455583.0848549332
9,14.774101376651847,0.04543170818569668,6.917521919366175,0.8596080064773557,0.07036654649517242,0.07539383333370597,18.26540328230113,4.718982884154162,0.5673931463659952,30.7158472524938,428267.88181343523
